odometer,price,size,title_status,year,condition_encoding,cylinders_int,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,drive_4wd,drive_fwd,drive_rwd,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon,model_TE,manufacturer_TE
60000.0,16900.0,3.0,5.0,1999,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24451.47626464237,16693.95983992606
105420.0,17500.0,2.0,5.0,2010,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14163.333852496564,16693.95983992606
40969.0,24988.0,3.0,5.0,2010,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22235.43872167282,17181.840315648707
116925.0,10999.0,3.0,5.0,1999,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20436.697064090284,16693.95983992606
184101.0,7250.0,3.0,5.0,2011,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14163.333852496564,16693.95983992606
195000.0,15000.0,3.0,5.0,2013,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22316.20832406256,17181.840315648707
157426.0,15995.0,3.0,5.0,2016,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26013.57691955287,16993.07505801628
172700.0,39900.0,3.0,5.0,2016,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14369.229134218966,17181.840315648707
145856.0,25988.0,3.0,5.0,2016,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14369.229134218966,17181.840315648707
59100.0,20590.0,3.0,5.0,1992,3.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14369.229134218966,15805.867510681168
