condition,county,cylinders,fuel,drive,Suma de id,manufacturer,model,Suma de odometer,Suma de price,size,title_status,transmission,type,VIN,Suma de year
excellent,United states,10 cylinders,gas,4wd,43864593516,nissan,altima,269436,6,compact,clean,other,sedan,1N4AL3AP7HC251364,12102
excellent,United states,10 cylinders,gas,4wd,36567231791,nissan,altima,172575,5,compact,clean,other,sedan,1N4AL3AP8JC184098,10090
excellent,United states,10 cylinders,gas,4wd,7306251773,nissan,maxima,34888,1,compact,clean,other,sedan,1N4AA6APXHC415133,2017
excellent,United states,10 cylinders,gas,4wd,80452604151,nissan,pathfinder,570416,11,compact,clean,automatic,wagon,5N1DR2MM7JC636989,22198
excellent,United states,10 cylinders,gas,4wd,14604233689,nissan,pathfinder,88126,2,compact,clean,automatic,wagon,5N1DR2MN8HC634168,4034
excellent,United states,10 cylinders,gas,4wd,14604731724,ram,1500,101340,2,full-size,clean,automatic,truck,1C6RR6HT1JS210618,4036
excellent,United states,10 cylinders,gas,4wd,7313159770,ram,3500,141344,17995,full-size,clean,automatic,truck,3B7MF33W62M276135,2002
excellent,United states,10 cylinders,gas,4wd,36552660403,ram,3500,156985,5,full-size,clean,other,truck,3C63RRGL9KG618480,10095
excellent,United states,10 cylinders,gas,4wd,21936599105,tesla,model x,112374,3,compact,clean,other,wagon,5YJXCAE41GF007834,6048
excellent,United states,10 cylinders,gas,4wd,21915065323,volkswagen,tiguan,108126,3,compact,clean,automatic,wagon,3VV3B7AX6JM133759,6054
excellent,United states,10 cylinders,gas,rwd,102404202455,bmw,6 series,683564,14,compact,clean,automatic,sedan,WBA6B4C56FD986118,28210
excellent,United states,10 cylinders,gas,rwd,7306584335,bmw,m5,81000,19000,mid-size,clean,manual,sedan,WBSNB93598CX09251,2008
excellent,United states,10 cylinders,gas,rwd,7314582080,bmw,m5,56842,24000,mid-size,lien,automatic,sedan,WBSNB93566CX06689,2006
excellent,United states,10 cylinders,gas,rwd,7307098382,bmw,m6 6-series,50700,25800,mid-size,clean,automatic,coupe,WBSEH93527B798843,2007
